frame_start	frame_end	Left-AV	Left-CeM	Left-CL	Left-CM	Left-LD	Left-LGN	Left-LP	Left-L-Sg	Left-MDl	Left-MDm	Left-MGN	Left-MV(Re)	Left-Pf	Left-PuA	Left-PuI	Left-PuL	Left-PuM	Left-VA	Left-VAmc	Left-VLa	Left-VLp	Left-VPL	Right-AV	Right-CeM	Right-CL	Right-CM	Right-LD	Right-LGN	Right-LP	Right-L-Sg	Right-MDl	Right-MDm	Right-MGN	Right-MV(Re)	Right-Pc	Right-Pf	Right-PuA	Right-PuI	Right-PuL	Right-PuM	Right-VA	Right-VAmc	Right-VLa	Right-VLp	Right-VPL
0	30	1383.58631	989.50811	1229.26605	745.04331	842.0285	1404.52585	986.93289	757.93445	1185.00378	1181.82948	1206.01028	844.22829	491.63126	950.43554	881.35383	558.99613	663.85026	1062.12997	575.62138	1074.25123	1199.02431	982.58504	1005.4751	939.33779	1178.70321	914.19266	822.18166	530.11311	840.49792	655.74377	862.34366	1066.37959	968.09817	895.50778	731.32736	641.63888	1165.02431	822.17041	1091.60387	792.82842	561.88608	1008.41197	475.39435	692.55981	1169.31536
30	60	13097.83287	10366.72543	15266.94434	10953.05342	10581.94873	11158.09425	12654.57906	9241.73071	15222.99122	14495.19432	10225.1488	9399.91635	10571.32594	12769.15595	11310.69268	11781.54851	11180.94954	8702.38945	10043.72383	10759.72884	12428.18106	11504.45918	11476.96729	11991.55441	15914.76639	12743.62832	10706.99697	12696.90083	12024.51088	10115.96766	16495.20506	15349.13369	14817.39404	10003.05993	14794.39502	12749.86531	14077.99672	11785.19064	10665.66809	10364.28576	9287.63265	12804.38553	11808.26001	12779.75656	12573.74858
60	90	28999.82555	22055.85445	30945.94073	24519.6796	23331.42086	23686.78083	26043.28223	24130.92242	34290.38262	30398.48862	24827.7899	21503.28621	21225.04862	28339.91701	24983.28284	24748.68176	23485.07137	22551.91549	23142.07031	28872.88333	29495.10598	24950.56056	23988.39745	24955.11942	30686.94691	27449.6409	23540.53652	22598.22723	26503.38517	22841.22114	35160.88214	32573.88656	27586.29073	24195.38601	33653.97656	23924.81285	33086.27407	22568.85304	25165.71546	24707.94764	19784.88283	24372.60634	23495.27859	27094.96602	27186.58267
90	120	43354.30036	36344.59616	48820.89205	42590.7932	36072.32328	35036.95735	44349.96072	42371.14084	53929.36622	47191.10949	39690.00774	34027.44666	35895.07975	50289.62074	39176.30924	39023.73331	40215.8492	31234.03767	33064.47969	38550.49169	43996.39072	39084.99321	44190.84229	39061.35587	50079.13139	46546.45533	35689.74723	38954.84319	40179.22366	34998.21897	53387.08769	47613.93913	41444.37136	33619.80415	47119.18359	36480.7302	51911.82011	40377.36298	39654.97055	39653.74991	33421.4477	36289.0421	40182.17728	43681.38502	45607.04275
120	150	51630.2092	49695.17974	62852.36959	51296.11215	46795.63339	43148.19135	56069.45582	48057.89366	65766.64024	60032.10101	46268.08068	45383.79868	51002.10755	57324.57012	41868.87994	48742.0921	45471.59364	41703.62373	50508.26562	48152.68619	51935.74041	47144.28458	47066.86089	43457.03571	57309.67708	50232.26421	38142.69377	43738.7267	52367.71339	42016.05729	63238.34399	59265.39003	49088.48277	40885.08381	61087.15625	45912.24125	60093.43633	44221.7525	52882.50286	48220.13998	38519.50209	38892.7908	47270.60385	53814.52653	53401.23375
150	180	45956.7151	41902.45738	60461.13942	52449.42918	42903.33203	40420.10487	56387.03499	46401.22808	62288.73698	57201.06717	48791.89207	36838.85577	46091.97249	60181.76253	43448.89987	53555.04668	47520.9583	36440.21648	38645.57578	45460.277	51798.86639	49712.24324	44856.37203	43333.96154	60392.57434	57432.17712	41635.55396	42887.16358	53307.66124	41737.1441	64957.09382	56562.06202	48193.87381	38515.5451	60227.1582	48625.5	62234.48173	46289.95908	52242.17772	46581.11618	38046.43295	39504.74436	50230.4824	58306.70856	56338.3716
180	240	42345.43543	42348.5725	51216.69171	52025.84099	36032.31062	40074.95018	47768.51437	42242.11046	58116.32668	54778.81067	46574.2679	40745.0622	49071.72224	55350.85578	44573.58946	49001.96856	44758.99564	37497.43421	38889.35547	45042.70159	49850.81033	47237.48416	43596.10362	43910.36714	51467.88802	54208.89799	31307.10148	42072.68277	46949.57891	40664.79123	62129.63107	55609.30184	44362.08042	39942.65092	58192.82031	44795.96492	60155.07233	45325.64629	51780.27626	46766.77204	40906.0492	41189.06641	49523.31801	53645.25992	55380.53496
240	300	41618.32395	41709.57071	50555.41331	48391.35674	33319.58825	39719.87381	44662.87061	43759.648	58795.7772	53428.40503	42868.60784	42111.83053	44821.68218	52755.74621	43121.87305	43750.25899	40520.85962	36515.07431	39823.06563	43961.594	48084.94997	43693.48978	39201.0357	39880.17979	47302.68288	55173.76875	30043.81213	42332.38025	41385.33343	36713.66189	58165.27322	52290.95018	45469.42337	37297.7326	51909.9668	42767.93902	56076.50762	45009.06468	48150.1525	41846.99567	37041.41223	39028.17231	46142.31377	52473.63438	52794.84176
300	360	41523.82106	41360.73742	50909.32888	46230.60144	34473.34458	37531.58278	44211.91692	41248.31858	55302.82295	48905.10307	40785.11384	39197.17518	41407.874	53210.51673	40383.78434	44538.27973	40804.81606	34967.1457	39427.92734	42841.23936	46670.83818	43982.76415	38448.29297	44751.58113	49245.29699	51153.43943	29576.28229	38367.82134	38460.29018	36245.98676	57179.03576	49397.42831	43482.61443	42874.99219	54192.81445	43051.28262	52785.89344	41598.70132	46103.80121	38851.67268	36047.25178	42556.14497	44712.634	49906.90412	50937.57186
360	480	33968.38176	35866.3401	42077.10322	45233.97571	27133.30697	32937.53517	36273.32947	36164.64052	47405.28828	43394.13988	38007.79078	34751.753	39479.6951	44805.82853	37776.43648	38676.13417	36072.69796	32473.09279	37651.12109	39280.5845	42169.59415	41118.85015	32350.22518	37231.42911	41591.73941	47300.41489	24791.02144	35858.83344	34192.84049	33406.19553	50032.51403	44001.73939	38975.67697	34897.77415	46265.72656	38852.34457	46454.8578	39139.28023	41486.52118	35478.90017	33637.75186	37299.92925	41517.93998	44823.01923	45278.85831
480	600	30944.51289	34036.62876	37021.53215	38629.47115	23152.86004	31279.65448	29659.65697	31116.34538	42853.7463	38220.36823	34433.90562	31480.83609	34189.59358	38119.28298	32678.10934	33950.90079	30008.74227	30099.42281	34135.36328	36590.46683	38194.56016	35775.90909	30955.66103	35635.43815	34794.54415	41205.3448	20675.84825	31765.69215	28855.99103	30853.12174	43531.84506	37477.89719	36414.61378	33228.89222	42893.50391	33972.62348	39067.2059	34812.55028	34054.85708	30324.6849	31898.72695	35043.16493	37957.56832	40602.39012	40530.55033
600	900	27580.556	31978.11529	30211.31881	34288.1679	17019.17504	28755.11139	22296.14892	26553.90148	35825.42747	31305.26024	30599.68959	30075.24654	29175.38127	32909.62989	29554.99668	29162.30088	25947.9848	29069.44152	33018.39883	32579.58103	33121.66031	32090.455	25799.74498	32427.05677	27009.09399	36095.86275	15757.28253	29799.97261	20530.44281	26536.95009	35601.43592	31271.09187	32340.65667	30227.84393	36587.61523	29998.23609	33585.83882	31792.6745	28806.45445	25600.85137	28859.43417	32455.79601	32356.40547	33519.55547	34607.03042
900	1200	21864.7458	26639.43239	21333.81483	28419.82916	11585.02197	24061.77037	16328.25215	21680.70964	27151.94296	23719.96926	26202.16267	25658.64949	23504.42271	25483.89765	24624.32375	24896.14062	20311.87875	25316.99811	28022.83242	27506.21604	27397.10288	27598.82641	20935.72645	26267.81946	20388.65986	29060.883	11993.5529	25289.61992	15962.48444	22995.35178	27963.83316	24241.1261	27433.58854	24825.00178	28410.89648	23428.75836	26247.67364	25744.61628	22889.54584	20370.15538	26046.74375	27629.49653	27924.40848	27907.27552	28247.61328
1200	1500	17284.13092	22524.94072	16297.97074	21818.53341	9303.6579	21077.61899	12039.81667	17068.95112	22047.0502	19073.58346	22292.72298	21925.92007	19788.28167	18936.5327	19819.02882	18451.02447	16130.39943	21542.47609	23918.78281	22953.68497	22106.00008	21553.05451	16185.21037	23324.22323	14100.00071	22338.54	9156.17055	21519.24647	11666.73444	16490.50206	20890.93376	18827.47355	20838.35495	21975.60032	24101.7793	18308.27842	20163.83098	21145.47514	18365.92984	16181.19283	21890.77607	24472.08963	22706.69686	21384.62437	22520.12536
1500	1800	14501.5265	19740.47513	13413.94171	17030.22211	8116.18863	18738.28601	8761.19678	13999.59559	16707.37919	15558.64154	17690.01747	16958.09367	15369.53989	15216.57572	17288.47417	16363.63347	13753.02656	18999.4684	20058.72031	18649.92208	17286.20114	18448.23731	14234.2756	17993.53692	12770.1094	19075.82798	7894.73343	19688.10753	8849.75701	16007.67741	17783.66908	15952.31263	19347.14375	17030.63787	17949.13574	15486.70687	16679.42627	17909.78732	15136.72454	13804.11509	18909.09325	18883.6326	19041.37332	17911.59788	19042.28334
1800	2100	12039.42358	16350.0275	11224.09234	14243.1315	6439.38062	16395.85462	7588.64918	11785.9343	14012.71267	12532.18431	15306.82618	16764.29011	12519.08369	12448.47675	14101.22084	13746.19954	11473.19145	16291.12916	17011.51602	15537.3108	14261.57485	15399.90691	11526.4044	15953.03042	10180.09698	15449.31802	7271.8202	18049.36178	8412.66062	12412.51356	14291.74662	12563.45067	17461.92562	15862.88849	15711.10107	12735.94375	13135.68569	15738.86065	13433.24773	11772.33612	15726.92869	16489.77289	16106.00523	15366.46328	16012.25874
2100	2400	10313.62505	14180.20508	8842.85246	11986.32367	5471.97339	14907.16152	6317.24218	9692.48364	12213.37909	10901.08175	14104.13754	13301.22318	10568.18158	10912.30799	12854.52618	12568.41501	9901.95154	13244.69421	14589.63516	13819.17799	12839.33205	14086.17375	10197.59955	14216.4858	8348.91394	11838.58323	6475.40453	15835.6326	6644.03825	10424.34191	11458.13629	10880.47086	13981.28483	12967.91992	14455.3667	10166.94331	11229.61824	13653.30473	12410.45225	10560.04921	14075.20802	13987.20399	12849.32327	12369.86406	14133.67503
2400	2700	8781.5953	10519.283	7380.87421	9865.29976	5127.37155	13801.23389	5515.43819	8360.54386	9002.54332	8765.04577	10592.94209	10475.37184	9245.62341	8756.93064	11182.25742	8943.08358	8239.52532	11838.29685	11049.00352	11212.73395	10149.63223	10861.40679	8545.05602	10831.12054	7435.24834	10330.98528	5596.09527	14304.71698	6496.28722	9024.50228	9589.60198	8905.46234	11942.67214	11121.74165	9225.09814	9004.08904	9512.27992	10903.75414	10280.73853	9152.55706	11795.65497	12151.7309	11461.81623	10720.51258	11700.57727
2700	3000	8134.38009	9016.34768	7505.5822	9001.99876	5751.40858	11829.79615	5373.6484	6214.03621	8556.92718	7856.00987	9109.27454	8657.72998	6793.5902	7551.91197	9498.57121	8383.59097	7843.53635	9792.46053	9248.18652	9839.16594	9612.45775	9894.547	8661.00202	9216.07348	6803.5716	7893.09998	5558.70615	13198.85843	5628.38331	7812.97146	8417.79731	7921.05534	10106.64286	7951.69838	10190.27051	7097.71622	7313.03261	10280.09823	9652.38277	7992.1843	11009.67869	9702.30404	9942.18609	9221.10747	9946.59945
3000	3300	6606.77464	7653.77647	6113.06173	6794.36683	5123.57468	10257.0094	5173.7596	5239.73961	7129.54876	6493.97676	6806.15835	7755.24583	6133.71906	7249.61138	7772.0227	8803.43289	7297.17236	7762.93435	7724.21445	8790.76445	8708.02727	9480.40947	7162.70032	8945.7626	5273.39428	7278.35512	5518.21683	10808.43501	4935.5874	6091.35997	7452.33483	6594.56079	8337.10949	8021.4949	8339.93506	5625.99906	7991.75518	9297.18005	9668.06677	7852.58345	9534.29356	8917.70974	9361.7488	8759.80894	10122.30976
3300	3600	6230.20464	5831.55217	5012.34745	6116.30212	4519.35611	8638.49749	4787.48223	5469.21821	5633.55033	5457.68206	7738.8508	4994.51296	5365.78972	6272.17486	7017.30739	7229.71921	6262.24214	6839.1907	5222.42871	6788.34767	6724.22598	8328.88642	7979.4726	6554.89998	5509.64635	5917.70916	4399.4553	10533.987	4637.05499	6062.00244	6143.39803	5517.59431	7869.88915	5635.13401	5465.97388	5286.9399	6304.29039	8136.05564	7921.57049	6556.58546	8474.56007	6664.0676	7867.34714	7380.50407	8336.33835
3600	3900	5612.40604	5254.84948	4627.22187	5700.00382	4374.20773	8657.01757	4029.06393	4773.4563	5633.79694	4997.93143	6485.05459	5454.63217	4764.31377	5868.49171	6058.01218	6537.50944	6206.10188	6985.27684	5132.54688	6900.7221	6522.69907	6971.98685	6232.69509	6679.10418	5412.19392	5898.86233	5061.03727	8728.46223	5056.9814	6081.01823	6000.76689	5223.15798	6727.06297	6416.97035	5297.78784	4903.58102	6526.09868	6778.27563	7823.83903	5754.37132	7617.20059	6953.89686	7292.23394	6945.55695	7953.71088
3900	4200	4862.90982	5759.17799	3877.07629	5027.16435	4116.81497	7296.29092	4150.26512	3993.66622	5041.45421	4783.92307	4940.18931	4538.2195	4408.29297	4355.72356	6135.73209	5227.49605	4992.18624	6236.85791	5637.21143	6139.27465	5644.8365	6169.94097	5299.84085	5992.86182	4024.55583	6336.58046	4871.62044	8978.52048	4070.54326	5699.03488	4716.06874	4964.0102	6162.4462	4624.74143	5950.61133	5262.04624	6142.71272	6872.00936	6400.5006	6068.00655	6480.55579	5807.12636	6766.58787	5790.12898	6671.12034
4200	4500	4032.44871	3609.07563	3856.67381	3970.99617	3308.81306	6553.23347	3334.26576	3718.11084	4108.11724	3740.48444	4726.25543	4022.3135	4187.86385	4255.26167	4910.54562	4833.62263	5198.06413	4789.84161	3850.59224	5089.59791	5433.5944	5592.13333	4188.45878	3899.52195	3228.84281	5197.39259	4279.12616	7206.75993	3826.40291	4569.90858	4627.93696	3883.33291	5458.04426	4337.7854	4044.80859	5458.95343	4967.29983	6592.35667	6195.20849	5379.23474	5327.56855	4020.46623	6527.81716	5899.50415	6388.56983
4500	4800	4070.54195	3526.44097	3432.04595	3601.33754	3496.99241	5391.37243	3030.74584	4224.42451	4002.81807	3571.91478	3868.14117	3257.64263	3377.2408	3321.41597	4981.9301	5439.37371	4812.13835	4957.85727	3510.86255	5504.65322	5187.93909	5124.03238	4975.90923	4237.35474	4565.81637	5092.04239	4374.17156	5982.668	4363.17511	3376.27189	5539.20046	4577.63699	4723.84459	4955.92676	4321.57227	3585.55405	4766.88987	5130.43319	4719.71351	4572.78672	5663.35229	4728.22748	5371.52045	5190.63368	5423.89691
4800	5100	3104.71007	3549.00801	2847.34371	4037.31267	3256.49128	5487.5689	3233.87987	2933.70312	3347.14983	3145.39036	3480.88536	4764.03863	3148.26344	3918.29173	3952.40135	4541.98243	4193.60047	3894.36779	4068.00991	4191.78612	4534.9119	5397.80703	4290.55715	3753.28513	3781.44172	3578.44631	3418.01286	5831.08841	3151.42362	2674.7749	4423.30209	3650.72929	4702.35312	3860.49301	3290.99365	2988.00167	4506.27125	4284.84857	4783.21232	4608.08421	4555.78943	4188.80417	5194.48858	4816.34055	5304.84461
5100	5400	4639.89041	4663.31893	3131.27289	3649.83175	3459.04318	5034.2866	3120.84937	4054.85284	3509.93414	3223.89099	5271.62885	2674.62119	2722.76404	3542.12527	5036.96577	4355.63098	4055.63736	4621.92594	3124.30146	4759.457	4271.77533	5507.83105	3499.02209	5345.02632	2807.44522	3432.07947	3983.42642	5256.23272	5061.86607	4370.74433	3959.47968	3341.83653	4238.25466	3762.73253	5187.45703	2791.43971	5093.6851	4279.26573	5380.8889	5391.21322	4841.85183	5421.49181	5270.43472	4676.78041	5529.85982
5400	5700	2408.31831	3073.25177	2870.36989	3496.45312	4508.93063	5005.66445	3594.93869	3228.38822	2936.74406	2715.67637	3927.74895	2654.221	3274.54856	4100.42498	4067.32187	3959.60035	3469.28139	2747.84127	2743.42769	3470.90389	3887.27405	4825.07835	2693.34173	2688.88837	2311.96354	4085.03899	3287.01115	5507.53573	2570.18402	4148.15462	3795.77989	3040.78268	4529.11955	2446.8829	3551.13147	3477.21365	4537.35541	4674.3246	4869.76175	4417.96595	3119.29835	2580.21872	4634.31305	5493.25038	5349.81415
5700	6000	3047.29792	3584.5774	2300.80031	3494.55772	2078.26192	4945.76867	2205.48771	3540.27337	3175.78336	3181.98709	3885.31073	4302.34873	2324.40616	2943.62608	4228.35223	2679.48448	3876.70864	3300.66359	3900.70522	3609.32571	3587.83239	3751.30343	2897.42043	3802.86622	2912.29703	4247.86829	3418.16691	5714.97726	2867.24761	2303.7934	3919.1058	3201.8516	4589.76248	3053.32806	3768.2511	2289.59622	3210.65108	3576.35493	3716.62288	3463.63387	4280.52918	4349.06947	4542.79026	4182.49486	4195.72631
6000	6300	2454.24248	2873.66553	2601.08531	2617.69446	3622.1469	4976.28883	3279.49967	3593.50239	3163.53832	2761.4182	5488.32505	2051.92544	2537.61312	2817.67364	4454.72245	2361.82566	3825.38275	4018.79322	3658.10137	3794.95616	3518.96099	3855.1289	2225.50196	1903.96861	4062.41039	3096.82119	4710.45506	4511.93919	4121.81828	4482.49832	2953.90363	2810.2177	4088.71106	1817.96397	1796.35785	2711.52491	2672.08821	3336.10302	2187.61888	2679.68207	3148.48877	2594.84068	3963.46923	4089.8509	3525.40922
6300	6600	1872.21249	4163.29836	1785.6872	2835.91466	1676.79125	5214.21584	3093.8139	4130.54186	2584.28058	3319.42096	2876.46693	3349.52941	2902.77587	2413.93832	4024.60335	2908.93247	3254.29054	2520.45794	3534.02871	3216.76261	3147.4792	2992.77435	2210.28895	3953.71952	1631.4992	3780.30958	1733.22398	5134.2409	2895.55617	2852.71937	4305.52309	4114.42105	3191.96257	4321.00628	5904.86035	3563.14181	4935.94434	5373.21874	5124.06321	4965.18539	3144.7336	3818.12587	3887.54541	3840.07099	4703.94847
6600	6900	2425.83543	3346.17201	3049.98902	3956.95224	2750.9713	4793.4144	2784.65041	3437.56925	4198.64386	3669.6229	6417.16231	3748.51882	3857.23897	3073.33666	3687.64572	3264.45015	2794.85336	2503.22363	4910.52988	3760.25174	4433.90847	4918.09801	3092.62759	3745.98202	3259.34934	2439.10338	4306.08373	4577.94737	5251.46318	3013.31554	1764.41951	2630.23783	5413.93721	3643.68415	2303.66956	1909.22443	3648.56414	4179.48391	4963.3485	4117.24124	4126.77475	3941.25966	2744.69662	2875.07926	5598.4886
6900	7200	4036.36953	4152.56227	4074.8922	4255.67915	5811.76411	3565.32267	4023.81414	5533.24101	3560.15946	3601.13163	3446.67	5895.75019	4013.23626	4126.2819	4564.67959	4620.93638	3872.41947	3193.71779	4805.49565	3515.03443	3542.48921	4577.18764	4100.64386	3625.76585	6177.72988	4263.08894	7921.15689	6391.96373	5770.54587	3440.58993	3684.06582	3885.876	5369.86859	3994.50062	5440.44629	3765.98671	3697.7519	5049.18921	3736.64578	3412.31053	4637.08383	3957.29465	3929.07854	3332.60433	3900.31384
